x Desnivel 3,y Desnivel 3,z Desnivel 3,i Desnivel 3,sep ,x Desnivel 2,y Desnivel 2,z Desnivel2,i Desnivel2
-6,-25,23,0,,-4,15,24,0
-3,-45,59,0,,-5,-29,17,0
-1,28,-1,0,,0,-73,73,0
-3,-55,52,0,,-6,54,-15,0
1,-29,55,0,,-2,-71,63,0
-4,18,-11,0,,-5,39,1,0
1,-49,71,0,,-8,39,-24,0
-1,20,19,0,,3,-70,82,0
-7,-32,29,0,,-3,13,26,0
0,-3,35,43,,-7,-16,19,0
-4,46,-24,109,,0,-20,52,3
-3,-70,74,158,,-9,52,-21,80
-4,48,-12,240,,-2,-67,66,126
-4,-64,62,309,,-7,39,0,181
-4,33,2,357,,-2,-48,47,258
-6,-48,40,374,,-8,16,19,322
-1,13,25,,,-5,-29,26,365
,379,,,,-2,-4,39,375
-7,-20,20,374,,-9,45,-17,379
0,-16,46,369,,0,-60,68,373
-8,5,-3,337,,-9,36,-7,364
-3,-62,68,261,,-2,-52,57,307
-5,39,-3,182,,-6,29,5,232
-7,-48,53,111,,-5,-41,49,163
-4,22,15,34,,-4,18,16,
-6,-34,33,0,,87,,,
-3,5,33,0,,-10,23,-6,14
-9,40,-16,0,,0,-44,61,0
-2,-58,71,0,,-8,24,-2,0
-1,-14,48,0,,-9,-22,30,0
-8,0,4,0,,-1,-2,34,0
1,-31,60,0,,-9,-15,19,0
-4,33,-1,0,,1,-14,40,0
-7,-48,50,0,,-2,23,1,0
2,-43,69,0,,-8,-44,55,0
-9,31,-15,0,,1,-22,47,0
0,-57,72,0,,-8,6,5,0
-1,7,32,0,,-8,-41,48,0
-9,-16,18,0,,1,17,10,0
-3,-62,72,0,,-6,17,-2,0
-5,43,-10,0,,-3,-41,64,0
-6,-60,63,10,,-3,26,-7,0
-3,34,0,80,,-9,-24,31,0
-8,19,-8,117,,0,-4,32,5
2,-48,71,180,,-3,29,-8,76
-7,32,-15,260,,-6,-54,64,120
-1,-59,70,329,,-2,30,-4,183
-4,34,-14,367,,-6,-50,56,261
-4,-59,67,378,,0,21,3,320
,,,,,-6,-42,46,366
