x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4
-6,-4,24,17,,15,36,42,108
-5,-3,24,17,,20,-10,92,30
-3,-4,24,18,,35,20,53,0
-1,-4,26,17,,32,0,64,0
-2,-5,25,18,,50,-14,99,0
-2,-6,25,18,,51,14,67,0
0,-7,25,17,,41,-37,87,0
2,-8,26,17,,55,-3,67,0
4,-8,28,17,,48,7,44,0
4,-8,29,,,47,-54,91,0
,18,,,,44,11,39,0
5,-9,28,17,,32,-16,44,0
5,-11,28,18,,39,-46,7,
7,-12,29,17,,0,0,,
10,-13,31,18,,23,-8,22,0
11,-14,32,17,,11,-54,58,0
12,-16,33,18,,21,-25,37,0
11,-18,32,17,,10,-45,37,0
12,-18,33,17,,17,-84,65,0
15,-20,36,17,,14,-14,4,28
17,-20,37,17,,17,-93,55,97
15,-20,36,17,,13,-28,9,137
13,-21,34,17,,12,-38,12,214
14,-22,34,18,,23,-94,46,297
15,-22,35,17,,13,-33,1,356
15,-21,37,17,,20,-89,42,374
14,-21,36,17,,11,-27,3,382
13,-22,34,17,,13,-69,33,378
12,-22,34,17,,4,-19,-7,373
15,-22,35,17,,10,-60,27,341
14,-21,35,17,,4,-15,-6,265
13,-20,36,18,,7,-55,20,189
11,-20,34,17,,6,-15,-6,120
10,-20,33,18,,6,-41,15,41
11,-20,33,18,,16,-48,38,0
11,-18,33,18,,8,13,-14,0
7,-17,32,18,,4,-42,39,0
6,-16,31,18,,0,-4,14,0
4,-16,28,17,,-20,-2,-10,0
3,-15,29,18,,-18,-36,24,0
3,-13,30,18,,-28,29,-25,0
,,,,,-46,-32,6,0
2,-12,29,17,,-41,21,-31,0
-1,-12,28,18,,-52,-21,-16,0
-4,-10,26,17,,-4,,,
-3,-11,27,17,,0,10,-21,0
-3,-9,26,18,,-45,0,-19,0
-4,-9,27,18,,-35,-24,9,0
-6,-8,25,18,,-29,39,-31,0
-8,-8,25,18,,-37,-10,10,0
-8,-8,25,17,,-31,42,-9,29
-7,-7,25,17,,-32,6,22,97
-7,-6,24,17,,-25,2,33,136
-9,-4,24,17,,-34,56,-3,196
-9,-5,24,17,,-25,6,43,269
-11,-5,23,17,,-34,56,12,339
-11,-4,22,17,,-25,8,51,360
-10,-3,23,17,,-25,55,21,373
-11,-2,23,17,,-21,19,63,366
-12,-2,21,17,,-13,47,36,363
-13,-2,21,17,,-9,25,66,346
-12,-1,20,18,,3,44,49,288
-12,-1,22,17,,-1,46,44,211
-11,-1,22,17,,11,15,81,154
-12,-1,22,17,,13,28,45,73
-11,-1,21,17,,28,-8,91,7
-10,-1,22,18,,37,12,70,0
