x Desb 3,y Desb 3,z Desb 3,i Desb 3,sep,x Desb 4,y Desb 4,z Desb 4,i Desb 4,sep,x Desb 5,y Desb 5,z Desb 5,i Desb 5
12,-16,33,17,,-25,5,43,185,,-15,40,-14,0
13,-16,32,17,,-34,58,7,268,,-9,-42,65,0
15,-18,33,17,,-36,32,29,334,,-16,43,-14,0
16,-17,32,17,,-24,29,40,362,,-11,-41,63,0
15,-19,33,18,,-29,41,34,370,,-14,-8,49,0
15,-19,33,17,,-13,24,59,367,,-13,21,-2,0
15,-20,32,18,,-17,50,37,360,,-10,-22,60,0
15,-21,32,17,,1,19,73,353,,-15,30,-8,26
15,-20,33,18,,-4,51,39,282,,-5,-34,62,94
14,-22,32,17,,11,7,86,222,,-13,20,18,147
14,-22,32,17,,14,41,40,156,,-6,-14,32,21
13,-23,30,18,,23,-16,96,76,,1,,,
14,-22,31,17,,34,7,75,13,,-5,8,33,286
14,-22,31,18,,30,-3,69,0,,-5,-5,21,341
13,-22,32,18,,50,-14,91,0,,1,-6,39,364
14,-21,,,,50,17,59,0,,-5,3,15,375
31,18,,,,41,-40,97,0,,6,-32,52,376
12,-22,31,18,,52,2,57,0,,-3,26,15,370
12,-20,31,18,,46,1,47,0,,5,-32,40,363
10,-20,31,18,,48,-49,92,0,,4,15,24,314
8,-18,29,17,,51,-12,59,0,,6,-23,35,233
7,-17,28,17,,3,,,,,11,0,38,169
6,-18,30,17,,2,-31,57,0,,2,28,0,104
4,-16,28,18,,39,-28,61,0,,16,-51,63,28
3,-15,29,17,,31,6,24,0,,8,23,4,0
1,-15,28,17,,16,-62,70,0,,8,-1,12,0
-1,-15,27,17,,20,-10,18,0,,21,-33,62,0
-3,-14,27,18,,16,-17,12,0,,12,17,17,0
-3,-12,26,17,,14,-76,65,0,,15,-45,46,0
-5,-11,26,17,,13,-20,2,0,,16,3,24,0
-7,-11,26,17,,10,-71,42,49,,11,14,0,0
-8,-9,25,17,,17,-48,22,105,,11,-36,35,0
-9,-9,26,17,,14,-71,36,165,,20,-8,36,0
-9,-7,25,17,,19,-61,25,250,,8,-22,22,0
-11,-7,25,17,,15,-60,17,329,,13,-52,51,0
-11,-5,25,17,,17,-68,32,366,,13,-52,51,0
-12,-5,24,17,,10,-40,6,378,,19,-33,47,0
-12,-4,24,17,,11,-64,30,384,,19,-33,47,0
-12,-3,25,17,,4,-16,-9,375,,6,-3,7,0
-14,-3,24,17,,11,-69,35,366,,19,-41,49,0
-14,-1,24,18,,4,-3,-16,312,,15,0,16,0
-14,-2,24,17,,8,-68,32,228,,7,-42,38,58
-13,-1,24,18,,3,0,-20,166,,17,-46,49,115
-14,0,24,18,,3,-8,-15,87,,6,0,5,158
-14,0,24,18,,16,-46,39,16,,14,-47,51,228
-14,0,23,18,,6,16,-17,0,,7,5,1,289
-13,-1,24,18,,3,-27,20,0,,1,-30,27,344
-,,,,,-3,2,4,0,,1,,,
11,0,24,18,,-12,27,-26,0,,2,-16,30,368
-11,0,24,17,,-18,-35,28,0,,-2,-18,17,378
-11,0,25,17,,-30,31,-33,0,,10,-22,40,373
-9,0,24,18,,-40,-36,12,0,,-4,0,4,367
-7,-1,25,17,,-44,25,-39,0,,4,-37,51,352
-6,-1,25,18,,-46,-28,-7,0,,-6,16,-9,282
-5,0,26,17,,-38,-21,0,0,,-8,-37,39,209
-5,-3,26,17,,-4,,,,,-1,8,19,140
-3,-3,24,18,,0,25,-42,0,,-13,-24,23,57
-2,-4,26,16,,-33,-22,9,0,,-6,-8,35,0
0,-4,26,18,,-32,36,-35,0,,-13,-5,5,0
1,-4,25,17,,-31,-11,17,0,,-11,-56,61,0
2,-6,28,17,,-31,20,5,0,,-10,35,-3,0
3,-6,28,17,,-38,25,3,40,,-15,-43,46,0
3,-8,27,17,,-27,17,24,106,,-14,20,13,0
5,-9,28,17,,-37,43,5,150,,-13,38,-18,0
7,-9,28,17,,-24,16,40,212,,-10,-53,67,0
8,-10,29,17,,-36,50,14,296,,-14,48,-15,0
9,-11,30,17,,-25,11,49,349,,-11,-45,62,0
10,-12,30,17,,-25,55,18,367,,-18,41,-6,0
10,-14,32,17,,-16,13,68,369,,-13,27,-12,0
14,-16,32,17,,-15,58,30,363,,-11,-32,67,0
14,-16,33,17,,-17,37,51,361,,-15,42,-15,0
15,-17,33,17,,2,30,64,330,,-9,-40,70,0
14,-19,34,17,,-2,41,48,250,,-17,44,-15,27
15,-20,34,17,,14,16,80,190,,-4,-44,63,96
15,-20,33,18,,12,28,47,114,,-14,40,-3,147
16,-20,34,18,,30,-10,92,43,,0,-33,56,207
15,-20,34,18,,32,17,51,0,,-4,-14,49,291
13,-21,34,17,,33,-19,89,0,,3,-27,44,345
14,-22,32,18,,49,5,78,0,,,,,
14,-22,32,18,,44,16,55,0,,3,-24,52,366
14,-22,33,18,,47,-47,100,0,,-7,19,6,377
14,-21,32,17,,51,9,47,0,,10,-27,56,374
