x Normal 1,y Normal 1,z Normal 1,i Normal 1,SEP, x Normal 4, y Normal 4, z Normal 4, i Normal 4,SEP, x Normal 3, y Normal 3, z Normal 3, i Normal 3
-9,15,21,116,,-3,-6,20,0,,-8,25,15,0
10,-33,35,166,,8,-19,41,0,,6,-37,40,0
-8,13,26,237,,-3,9,16,0,,3,-32,46,2
8,-28,28,314,,5,-34,38,0,,-6,20,6,67
-6,1,30,351,,11,-30,43,37,,6,-25,28,116
4,-16,23,370,,-7,6,13,96,,-5,0,34,157
10,-43,45,378,,13,-40,47,137,,4,-10,19,228
-10,26,14,374,,-7,17,12,202,,-1,-16,39,305
10,-40,37,369,,12,-47,44,286,,-7,15,21,370
-10,18,22,319,,-5,16,15,341,,-7,15,21,374
9,-31,32,246,,-4,-1,15,366,,-3,12,12,377
-7,11,27,177,,11,-34,44,375,,10,-27,31,375
5,-22,28,104,,-7,16,12,37,,-8,14,12,367
-3,-2,30,30,,4,,,,,7,-20,24,336
4,-14,24,0,,10,-43,45,369,,-5,0,32,268
12,-38,39,0,,-8,21,12,350,,6,-12,24,196
-7,14,21,0,,10,-46,46,271,,-1,-7,32,129
10,-35,37,0,,-9,24,12,206,,0,-11,24,50
5,-21,34,0,,8,-41,43,130,,11,-32,35,0
-2,-3,23,0,,-7,12,21,61,,-7,8,22,0
8,-26,37,0,,-7,11,12,0,,10,-31,36,0
-2,5,20,0,,9,-40,46,0,,8,-19,37,0
4,-23,35,0,,-8,18,12,0,,-5,-2,19,0
8,-27,38,0,,4,-16,28,0,,8,-30,34,
-6,5,17,0,,0,-11,32,0,,,0,,
3,-19,30,0,,-9,13,14,0,,0,1,24,0
4,-7,30,0,,9,-35,41,0,,-5,3,19,0
,,,,,-6,10,19,0,,11,-29,38,0
-7,8,15,0,,-3,6,17,0,,-6,9,18,0
9,-30,45,0,,6,-27,44,0,,-1,-16,27,0
4,-10,31,0,,-6,3,30,0,,6,-13,31,0
-3,-14,24,0,,4,-15,21,0,,-5,8,20,0
8,-18,39,50,,8,-37,43,0,,8,-32,38,0
-3,8,14,102,,-10,22,13,0,,10,-20,38,0
7,-38,41,149,,7,-37,41,0,,-5,4,17,0
0,9,20,204,,1,-17,43,0,,10,-32,40,0
5,-34,33,282,,-5,7,13,0,,2,1,25,12
11,-42,50,341,,8,-35,33,25,,3,-23,31,85
-7,16,11,366,,-8,13,24,93,,5,-12,29,123
9,-45,48,374,,6,-29,32,135,,-6,13,16,185
-4,20,14,374,,-5,6,31,181,,10,-41,42,265
7,-40,38,368,,-10,26,7,258,,-3,11,16,329
-3,10,23,354,,12,-48,48,327,,7,-37,40,364
4,-29,30,288,,-10,27,10,36,,-2,5,18,370
-2,0,32,225,,4,,,,,4,-25,33,376
-8,28,3,159,,10,-46,43,374,,1,-5,29,373
9,-52,51,79,,-9,25,16,375,,-7,18,11,366
-9,26,12,6,,10,-36,34,370,,8,-44,47,322
-2,2,11,0,,-8,12,25,357,,-9,22,9,255
5,-37,49,0,,6,-23,28,295,,8,-40,48,182
-8,18,20,0,,-4,0,32,232,,-6,17,16,114
7,-33,34,0,,-8,23,13,162,,-4,5,14,36
-4,0,29,0,,10,-39,42,87,,6,-32,46,0
-8,21,11,0,,-9,16,18,9,,-6,11,7,0
7,-45,45,0,,12,-36,37,0,,7,-30,35,0
-1,-17,36,0,,-6,10,21,0,,,,,
1,6,16,0,,-3,2,21,0,,,,,
8,-34,38,0,,8,-26,38,0,,-3,6,29,0
-,,,,,-5,4,22,0,,-7,18,8,0
9,11,24,0,,7,-28,35,0,,9,-42,47,0
6,-24,26,0,,9,-32,40,0,,-1,-8,36,0
4,-39,49,0,,-5,7,16,0,,-1,-5,17,0
-6,25,7,0,,4,-19,32,0,,7,-37,38,0
5,-10,22,0,,4,-6,28,0,,-6,15,25,0
-3,-10,40,0,,-7,8,16,0,,3,-25,26,0
0,-2,15,0,,9,-32,40,0,,5,-35,41,0
9,-39,36,57,,6,-14,34,0,,-9,22,13,0
-10,17,19,114,,-3,-7,21,0,,-1,-7,18,0
9,-34,37,161,,7,-17,40,0,,0,-16,43,0
-8,14,24,224,,-3,11,13,0,,-5,10,14,0
-6,14,9,297,,5,-38,41,0,,6,-36,38,0
7,-40,45,345,,11,-29,44,52,,-8,12,23,32
-8,21,9,365,,-6,6,11,105,,-8,28,9,170
11,-41,47,376,,11,-39,50,154,,2,-8,17,188
-11,27,12,372,,-8,16,9,217,,2,-8,17,208
10,-42,39,369,,12,-47,47,301,,9,-47,46,265
6,-29,45,244,,-4,18,16,350,,-10,22,13,331
6,-29,45,229,,8,-4,,,,0,4,11,363
-9,15,24,199,,4,42,368,,,5,-28,48,373
-7,16,13,126,,8,-31,43,376,,-5,15,10,377
8,-37,41,54,,-6,14,11,373,,6,-33,43,374
-7,16,16,0,,9,-42,45,369,,-8,17,12,364
6,-18,25,0,,-8,22,10,348,,10,-34,44,313
0,-10,35,0,,9,-47,48,273,,-9,18,15,240
1,-9,22,0,,-8,25,8,212,,3,-9,21,175
11,-37,37,0,,-3,3,14,146,,0,-11,34,106
-6,10,19,0,,7,-33,47,75,,-1,-7,22,26
1,-4,24,0,,-7,14,9,1,,6,-17,36,0
7,-23,36,0,,8,-32,30,0,,-7,6,24,0
-3,6,19,0,,-4,-1,28,0,,9,-29,33,
6,-24,35,0,,4,-16,27,0,,,0,,
0,0,24,,,9,-42,46,0,,9,-22,35,0
