x 2fases 1,y 2fases 1,z 2fases 1,i 2fases 1,,x 2fases 5,y 2fases 5,z 2fases 5,i 2fases 5
10,-41,16,0,,5,-46,28,319
6,-51,37,0,,12,-27,29,386
13,-27,28,0,,0,-23,19,424
1,-31,20,0,,6,-11,45,471
8,-8,43,0,,-1,14,20,538
6,26,10,0,,0,5,47,562
2,9,16,0,,-2,39,16,534
-2,5,51,0,,-6,5,43,473
2,49,9,0,,-1,25,23,390
-6,-8,50,0,,-7,-4,35,333
-6,-8,59,0,,3,-9,20,289
2,40,3,0,,1,-10,13,190
-5,-7,33,0,,5,-38,32,41
1,-11,27,0,,9,-38,24,0
5,3,6,0,,11,-41,21,0
2,-18,16,0,,11,-54,29,0
6,-48,32,53,,11,-30,22,0
5,-28,9,150,,9,-32,30,0
8,-48,23,254,,9,-31,41,0
8,-48,33,324,,3,6,24,0
5,-26,8,385,,3,1,37,0
9,-31,48,410,,1,11,26,0
0,,,,,-4,22,27,0
,6,13,457,,-3,23,34,0
0,-15,50,512,,-3,16,29,0
1,33,16,557,,-8,15,,
-8,7,47,543,,,33,0,
-1,30,23,472,,0,11,24,0
-10,27,21,393,,-8,-15,29,0
-3,6,35,341,,6,-13,19,0
-8,-6,24,288,,7,-37,28,0
3,-17,24,163,,-2,-33,19,79
2,-34,26,30,,14,-48,27,189
6,-29,15,0,,3,-43,24,286
15,-42,25,0,,9,-31,15,352
-1,-40,30,0,,7,-32,32,406
11,-32,16,0,,2,-17,29,440
9,-40,41,0,,0,7,31,483
-1,-3,18,0,,-6,0,39,546
10,-4,30,0,,-1,17,42,572
-8,7,38,0,,-7,31,24,516
-8,23,21,0,,-10,9,46,447
-1,15,39,0,,-4,31,16,373
-11,27,32,0,,-6,-20,40,325
-8,22,32,0,,1,0,15,256
-5,15,32,0,,-3,-29,28,111
-9,1,21,0,,3,-26,19,0
1,-10,21,0,,3,-44,26,0
-5,-23,30,0,,2,-56,37,0
-3,-17,18,26,,10,-24,16,0
11,-41,27,136,,-1,-40,33,0
-2,-36,24,244,,1,-35,37,0
14,-45,23,312,,5,3,21,0
0,-23,29,382,,-5,-8,34,0
13,-23,28,411,,-1,16,36,0
,,,,,2,37,13,0
,,,,,-13,0,55,0
-5,-3,35,471,,-2,44,9,0
1,9,31,526,,-3,27,18,0
3,12,30,567,,,,,
-9,20,38,529,,,,,
0,22,25,464,,-11,1,43,0
-10,11,38,377,,1,22,13,0
2,6,21,336,,-7,-28,35,0
4,-6,20,280,,-7,-30,37,0
-5,-21,30,162,,11,-15,9,38
11,-28,16,22,,0,-51,38,136
0,-47,30,0,,13,-32,17,242
11,-40,26,0,,4,-48,31,319
10,-44,18,0,,6,-43,37,380
5,-41,36,0,,9,-8,14,416
13,-17,23,0,,5,-29,52,454
1,-33,27,0,,1,30,11,522
4,9,39,0,,-4,-14,53,564
5,31,7,0,,-4,50,10,540
0,3,22,0,,-4,34,14,469
-3,19,46,0,,-7,-4,51,389
0,55,3,0,,-2,23,11,330
-6,-16,57,0,,-2,-25,36,276
-6,0,54,0,,3,-12,13,160
2,26,7,0,,5,-46,32,19
-5,-24,38,0,,8,-38,22,0
2,-7,20,0,,6,-38,15,0
6,-2,4,0,,9,-56,33,0
1,-55,35,15,,10,-44,32,0
8,-48,33,121,,6,-23,14,0
6,-32,8,221,,7,-24,45,0
8,-64,43,297,,0,5,24,0
9,-11,4,366,,0,-3,40,0
4,-29,13,404,,2,3,40,0
8,-1,,,,-5,29,27,0
9,48,447,,,-4,20,38,0
-1,7,16,495,,-2,14,36,0
2,5,48,541,,-8,,,
-4,41,15,550,,18,30,0,
-5,5,48,500,,2,-3,26,0
-6,29,24,425,,0,-15,31,0
-8,8,31,362,,0,-7,16,0
0,-9,30,313,,7,-24,19,0
-8,-8,25,240,,1,-44,31,62
4,-24,19,89,,0,-28,15,166
2,-38,32,0,,12,-58,32,267
-3,-26,18,0,,5,-32,18,345
12,-56,31,0,,12,-34,30,399
1,-26,23,0,,-4,-16,25,441
