x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
-30,3,-37,-38,-16,-11,-6,-8
-43,11,-28,-41,-7,28,35,-38
-39,0,-33,-32,14,-23,-2,5
,9,-21,-37,,29,55,-22
-44,9,-29,-42,-47,-2,22,10
-39,1,-29,-39,3,-19,37,-1
-39,9,-19,-38,-44,40,42,-16
-35,-14,-19,-24,3,-29,46,40
-32,-14,-6,-33,-26,30,61,-5
-34,-31,-11,-19,-26,-34,45,62
-30,-33,14,-22,14,18,73,49
-36,-45,1,-29,-11,,47,17
-26,33,12,-11,32,374,86,65
-36,-37,24,39,0,-6,86,
-37,-46,16,-23,17,-39,44,26
-27,-30,40,2,31,7,98,82
-37,-42,42,-3,24,-35,68,46
-23,-35,,0,44,16,,60
-29,-36,34,11,30,-21,84,65
-12,-29,52,8,63,37,77,59
-18,-34,44,24,35,-8,49,92
0,-31,48,23,75,39,96,45
-2,-25,56,35,38,44,82,97
10,-36,37,36,88,8,51,59
15,-30,50,40,38,42,81,93
12,-26,45,47,65,29,36,59
35,-26,23,36,79,48,72,87
31,-11,36,49,66,47,37,57
38,-16,22,39,104,25,21,40
48,-2,26,44,61,80,78,84
41,-3,18,39,59,37,3,27
51,-8,15,29,96,49,62,83
48,17,18,33,45,78,9,54
40,14,9,12,75,41,56,39
50,17,13,24,66,91,41,46
32,37,8,27,48,60,-2,17
34,28,16,8,77,54,46,50
33,48,13,22,,104,-1,25
29,44,14,5,,53,47,28
20,50,12,12,27,107,-16,48
30,51,10,11,72,42,47,0
18,40,8,6,8,64,-13,12
12,53,5,17,50,77,35,
16,36,6,36,28,38,-20,
8,20,1,9,33,78,-25,4
19,,6,9,32,,39,44
12,,-3,15,24,,,-4
23,20,,7,33,78,0,33
12,33,-3,12,14,43,8,45
18,17,9,6,35,-2,10,-22
8,17,8,9,1,80,-28,39
6,14,0,2,19,-5,43,-29
11,12,-5,0,12,66,-21,30
5,17,-18,-2,8,0,-16,-28
11,17,-19,-5,20,-3,25,22
3,20,-34,3,-9,64,-33,-10
9,17,-39,0,26,-13,21,-19
3,20,-42,2,-13,60,-47,38
8,9,-41,-9,25,-14,8,-21
11,11,-38,-21,0,5,-7,27
7,12,-40,-29,-17,33,-32,-23
8,4,-32,-36,41,-12,13,10
-12,11,-41,-42,-24,33,-30,-26
-24,3,-30,-45,-5,-4,24,-8
-25,9,-38,-40,8,10,-20,-24
-40,13,-32,-40,-27,43,21,-42
-42,-1,-34,-33,11,-34,15,14
-42,1,-24,-41,-36,-2,44,-31
-48,14,-32,-36,-9,26,17,22
-39,3,-18,-39,-29,-7,60,-14
-41,9,-24,-30,-14,37,27,29
-33,-7,-15,-27,-8,-15,63,38
,-17,-6,-32,,18,42,2
-30,-26,-6,-19,-34,-13,65,61
-32,-39,8,,16,-2,57,
-31,-48,1,-24,-14,-48,37,28
-29,-39,18,-26,28,4,89,39
-33,-40,24,-14,6,,,51
-33,8,67,-19,30,367,,41
-31,-33,17,1,21,3,61,70
-35,-36,28,-6,37,-31,97,31
-24,-40,39,6,32,8,55,79
-29,-35,39,7,43,-12,98,48
-10,-38,50,5,49,20,97,38
-17,-32,39,29,48,9,54,92
4,-37,50,23,66,-11,94,44
2,-27,54,42,41,50,62,104
4,-34,38,33,79,3,70,49
17,-35,49,47,47,19,64,103
15,-24,28,43,83,50,48,46
29,-29,23,42,93,26,85,96
33,-12,31,47,52,66,21,47
43,-11,20,34,104,34,72,44
52,-12,20,51,80,66,17,79
39,1,13,32,74,52,11,36
53,-7,18,29,83,35,62,72
51,12,10,31,50,85,0,39
41,17,12,12,84,63,53,47
51,12,16,24,85,63,-2,34
38,24,11,11,37,97,46,35
36,32,14,9,78,52,0,53
37,41,13,17,,102,35,17
-22,50,12,8,0,59,5,34
12,42,8,15,37,62,24,44
27,54,8,11,58,100,10,3
10,45,1,8,24,30,9,29
11,33,9,,61,53,40,
19,33,3,17,11,53,-30,22
14,37,-3,9,45,86,-3,19
18,31,5,13,21,,21,44
8,,0,13,32,20,,-12
17,15,-4,8,45,69,-22,43
15,26,12,10,8,20,35,-15
19,10,9,3,34,52,-12,30
16,11,-3,5,9,26,25,-12
10,8,-1,-3,29,35,0,12
8,18,-11,1,6,72,-30,-9
4,17,-18,-9,11,-12,30,-3
9,18,-30,3,9,66,-32,12
4,20,-42,-3,-15,-7,15,-8
9,18,-40,0,34,50,10,29
4,20,-46,-6,-21,51,-44,-9
11,11,-37,-19,32,-10,8,14
11,13,-39,-24,-10,45,-46,-4
3,5,-32,-38,-3,-21,17,-5
1,7,-40,-40,32,8,-35,-7
-9,8,-31,-41,-10,25,23,-38
-23,1,-39,-39,7,-23,-16,5
-24,12,-30,-40,-7,31,33,-38
-44,10,-33,-34,-7,33,0,4
-41,0,-30,-40,15,-30,38,-18
-43,17,-28,-40,-47,48,26,-31
-43,9,-32,-34,-2,5,34,27
,4,-19,-38,,9,47,-18
,9,-20,-27,,44,41,39
-38,-11,-3,-34,-40,-26,64,-2
-41,-16,-13,-29,1,29,43,16
-33,-30,13,,-25,-28,74,
-34,-39,6,-22,-32,10,40,53
-32,-45,12,-31,17,-35,83,13
-33,-36,25,-11,-13,3,87,66
-26,,0,-17,35,,,32
-35,,17,-10,-4,,44,63
-26,-41,21,-3,38,-44,83,53
-34,-30,42,-1,16,9,70,56
-30,-40,34,12,47,-35,79,69
-25,-35,46,8,23,17,107,52
-24,-38,46,30,56,-18,52,83
-11,-34,44,23,43,31,97,52
-15,-35,50,32,58,-6,47,89
3,-38,38,39,55,-1,46,64
-2,-27,50,39,40,50,86,86
9,-36,48,47,85,4,44,70
15,-35,18,36,42,36,68,76
20,-26,35,52,92,35,43,70
35,-27,24,28,53,41,15,56
32,-11,25,43,64,56,81,86
50,-15,18,36,99,26,2,31
51,-6,14,25,67,76,61,75
41,-2,19,33,87,40,9,60
55,-6,10,15,67,41,16,31
48,16,15,22,44,84,49,52
47,13,8,15,91,49,-7,18
44,16,15,7,39,80,48,39
32,30,15,22,44,96,-6,34
39,31,13,4,7,48,49,19
0,47,11,9,,107,-13,42
23,46,8,14,22,53,40,8
11,49,9,8,58,105,-8,7
21,52,4,18,37,43,30,
10,44,10,-69,37,55,32,0
17,52,-1,17,65,85,-25,8
14,39,5,8,4,34,35,33
17,38,,17,55,83,,5
13,,-2,11,9,,-33,-9
12,27,-2,10,12,15,3,40
23,16,11,8,46,79,14,-16
13,14,-1,6,1,3,-3,35
20,15,-2,3,42,71,41,-23
11,10,-3,-6,3,2,-21,22
13,13,-21,2,33,5,21,-21
4,19,-24,-8,-7,63,-15,13
10,14,-35,5,27,-8,-35,0
4,18,-40,-5,-6,46,21,7
7,17,-40,0,20,20,-48,32
6,19,-41,-7,-6,24,11,-16
6,16,-38,-22,15,30,-46,23
16,14,-36,-27,38,-10,8,-18
