x Desb 5,x Desb 4 ,x Desb 3,x Desb 2 ,z Desb 5 ,z Desb 4,z Desb 3 ,z Desb 2 
19,5,15,15,49,-12,15,49
14,4,21,10,9,13,62,-8
16,8,14,14,40,,5,39
20,7,16,7,9,376,63,-8
11,6,9,5,36,-20,0,28
16,15,8,4,33,43,17,-4
4,1,16,3,-2,-16,32,-26
10,-6,10,6,29,24,14,32
6,-18,16,-5,-5,-16,44,-33
2,-27,14,-11,17,14,2,-2
8,-36,1,1,5,-15,,13
5,-48,1,-6,-16,-13,32,-6
3,-43,16,2,23,-24,31,25
13,-49,3,-2,13,-23,-6,-17
8,-33,11,-16,5,-7,29,23
11,-40,9,-21,25,-33,12,-14
8,-45,0,-36,1,9,-3,4
-10,-41,6,-30,6,-27,17,20
,-41,-2,-42,,18,-15,-39
-13,-32,1,-40,23,5,17,8
-22,-38,7,-38,-22,-13,-4,-40
-33,-27,3,-39,15,46,-13,7
-40,-36,5,-,-33,-3,21,
-49,-25,3,32,-4,55,2,5
-41,-24,-8,-40,-34,49,-23,-28
-43,-32,-8,-33,-10,18,32,20
-36,-14,-24,-37,-19,65,-25,-16
-38,-17,-29,-25,-11,27,21,38
-30,-15,-43,-35,-32,63,-36,-5
-27,-4,-38,-22,31,49,4,45
-32,-8,-43,-27,-7,60,-41,16
-33,11,-31,-25,31,60,9,50
-29,6,-38,-24,36,57,-37,26
-31,30,-30,-20,3,,16,55
-28,0,-38,-7,56,367,-25,43
-33,27,-30,-9,10,49,31,62
-20,33,-34,10,64,96,-4,55
-21,47,-30,0,21,59,33,64
-20,41,-29,17,46,98,14,87
-4,55,-36,25,69,63,18,42
-7,42,-21,17,43,84,51,64
2,56,-30,39,81,56,1,86
9,32,9,40,42,69,,55
8,41,-27,35,40,87,47,96
24,36,-8,51,92,27,44,60
26,21,-15,41,62,76,53,51
24,30,4,44,76,49,63,99
40,19,2,52,98,36,36,66
40,16,-3,34,53,44,48,63
46,15,15,41,109,20,78,69
46,3,11,47,49,48,45,31
39,19,17,27,58,23,83,82
,17,31,,,12,56,
55,13,28,34,86,45,48,20
39,13,42,23,45,45,107,18
39,23,41,25,83,43,49,81
44,23,45,19,46,43,107,0
24,17,47,10,57,7,46,45
27,15,41,19,44,41,60,36
13,6,52,8,41,-17,84,25
21,11,41,11,48,46,44,39
1,7,22,9,16,-16,20,5
19,6,22,14,51,15,20,50
8,9,28,10,4,9,76,-13
17,3,20,16,52,-8,18,51
16,9,12,13,3,,60,-18
13,40,12,16,26,376,8,51
22,7,10,8,25,-4,51,-25
11,10,14,9,20,32,19,43
17,6,7,6,24,-1,3,30
3,-6,19,-2,8,7,48,-19
6,-13,10,4,31,6,-3,29
10,-21,12,-8,-7,-24,24,-31
3,-32,18,-7,25,5,25,15
10,-40,8,1,21,-32,,-4
4,-46,,1,-11,-2,14,-24
9,-45,14,6,19,-35,32,41
17,-44,8,-1,5,-8,-4,9
5,-37,7,-17,12,-21,22,-2
-11,-43,11,-14,-10,-38,27,16
-12,-43,-1,-21,13,12,-13,-24
-1,-42,8,-36,,-28,26,15
2,-35,3,-38,19,30,7,-29
-17,-35,-2,-47,-8,-10,-6,-3
-27,-32,10,,-19,32,19,
-32,-26,7,-38,16,47,-12,-21
-43,-37,6,-42,-41,-3,33,-43
-43,-24,7,-33,5,59,27,12
-42,-27,-14,-34,-47,28,-18,-35
-36,-29,-12,-36,-3,37,26,19
-38,-15,-32,-35,-31,49,-25,-15
-32,-20,-33,-32,13,37,20,28
-32,1,-49,-32,-27,68,-22,8
-27,-6,-38,-32,36,33,-13,26
-32,0,-45,-23,-13,75,-27,35
-29,7,-33,-32,40,44,0,31
-32,12,-40,-16,-3,75,-29,47
-29,,-33,-27,54,,15,32
-31,27,-34,-3,9,94,-17,65
-34,24,-31,-12,21,46,35,38
-17,39,-36,11,59,102,-7,73
-23,41,-36,1,29,54,13,45
-15,49,-25,22,65,105,31,85
-5,51,-35,27,48,51,26,55
-2,45,-21,20,62,95,43,77
7,53,-25,35,85,45,,97
8,36,1,38,36,79,0,52
8,46,-20,31,57,75,59,74
27,29,-9,50,78,36,34,86
26,26,-14,37,49,70,34,58
32,15,0,49,91,20,76,91
44,18,5,52,94,47,48,53
38,20,0,33,58,32,62,79
,6,11,40,,32,86,48
42,7,13,44,93,50,39,23
51,22,13,32,69,17,59,
40,12,31,,77,39,79,0
50,21,34,37,97,47,47,60
44,19,34,18,38,0,101,39
44,19,49,25,90,55,55,61
39,22,46,25,30,26,40,5
26,9,40,15,71,22,77,67
21,13,40,19,28,21,77,12
22,7,49,7,23,2,103,46
24,8,44,10,59,44,30,21
9,10,35,5,13,-12,88,22
14,6,31,11,52,33,22,56
14,7,25,8,8,-13,73,4
17,3,23,12,48,13,30,49
18,369,6,8,12,,42,-8
15,10,17,10,38,3,32,33
20,7,10,7,16,10,29,0
9,12,16,2,27,20,43,20
16,-5,9,4,35,-9,9,7
7,-7,18,5,-4,23,49,-31
11,-18,12,7,33,-11,4,34
13,-30,12,0,15,5,4,-33
0,-34,19,-10,9,-10,46,-13
12,-48,4,4,8,-20,-6,24
14,-42,11,-6,3,-13,18,-17
6,-48,11,0,3,-31,14,28
7,-34,0,-2,13,-4,,-11
7,-46,3,-18,13,-28,6,18
11,-46,11,-9,25,4,33,32
11,-41,0,-29,5,-19,-10,-29
-13,-43,8,-30,,9,17,20
2,-31,10,-42,0,30,27,-40
-12,-37,-5,-42,25,-15,-25,
-20,-30,10,38,-21,45,35,0
-35,-35,9,-38,11,-1,2,-39
-39,-35,2,-45,-33,7,14,-34
-50,-25,10,-30,-2,51,37,9
-43,-31,-8,-38,-33,15,-22,-32
-47,-16,-8,-32,-12,69,31,24
-36,-18,-24,-36,-21,32,-23,-21
-38,-15,-31,-28,-11,57,16,27
-30,-2,-42,-36,-33,54,-31,7
-31,-7,-48,-26,28,55,-1,45
-31,9,-39,-28,-7,64,-31,18
-34,7,-31,-27,30,50,7,45
-33,,-37,-23,10,,-35,33
-33,,-33,-24,35,,16,48
-30,20,-36,-6,27,91,-23,53
-32,26,-33,-11,12,52,28,52
-20,32,-33,13,64,93,0,64
-23,47,-32,-2,24,64,28,56
-20,43,-24,14,43,93,40,85
-4,56,-35,25,68,72,12,44
-7,42,-21,17,43,79,52,55
0,56,-22,40,79,63,,94
8,36,,32,47,61,0,56
7,42,-28,31,39,84,41,90
24,36,-8,51,90,32,53,67
28,21,-11,35,64,72,27,75
24,30,-7,43,74,55,78,101
39,16,3,45,97,29,38,43
40,16,-2,40,53,45,41,90
0,21,14,44,,22,82,78
47,1,16,32,106,42,48,32
47,19,15,,52,28,78,
41,10,25,34,58,21,96,88
54,17,32,35,89,44,46,31
40,20,28,15,41,11,83,57
48,19,48,28,87,44,78,34
33,21,39,9,29,42,74,39
21,16,52,16,57,5,89,78
28,16,42,16,43,42,53,-6
17,8,49,13,37,-11,90,65
24,5,40,10,52,24,32,-7
-1,10,38,9,14,5,89,45
21,5,24,12,51,15,19,11
10,10,27,9,2,10,42,26
22,3,28,9,54,-6,59,23
14,0,11,12,1,,18,-23
18,8,21,16,50,16,60,51
13,6,13,7,-1,-6,2,-20
14,10,18,6,36,28,65,38
10,8,10,3,0,4,-4,-16
3,-6,19,-3,6,4,55,19
15,-12,12,6,28,9,-4,33
11,-27,13,-7,0,-12,12,-34
3,-31,18,4,17,11,39,33
12,-38,8,0,23,-26,-1,6
3,-48,14,-6,-12,-8,28,2
7,-45,8,7,25,-28,,38
17,-44,-31,-2,11,-16,0,-20
3,-36,7,-16,3,-16,15,26
13,-44,14,-15,23,-14,37,18
4,-43,-2,-34,-1,14,-20,-22
,-39,11,-31,,-29,32,19
-14,-35,6,-48,14,24,20,-41
-16,-34,-5,-40,-8,-3,-19,8
-28,-34,11,-35,-24,25,29,-18
-31,-27,7,-46,14,46,-11,
-43,-35,5,-4,-40,-2,29,0
-45,-25,-1,-30,5,58,-7,-2
-41,-27,-14,-43,-47,34,15,-21
-37,-30,-19,-32,1,33,-3,17
-32,-16,-35,-39,-34,52,-3,-15
-39,-18,-37,-26,8,33,-5,40
-31,0,-50,-32,-20,73,-24,-8
-29,-5,-37,-20,34,37,-6,51
-31,-2,-46,-27,-11,75,-33,8
-31,9,-31,-21,40,47,5,56
-31,10,-40,-23,-2,,-33,22
-31,,-32,-16,49,363,19,61
-29,29,-35,-7,48,74,-25,39
-33,24,-30,-8,20,72,37,67
-18,38,-37,10,61,102,-8,81
-22,42,-28,4,27,53,38,39
-5,46,-31,22,79,104,13,87
-5,50,-34,29,56,55,19,65
-5,42,-19,19,58,90,50,68
4,54,,32,83,49,,101
9,36,-30,41,35,73,22,53
8,43,-23,37,52,47,53,99
26,32,-9,49,84,32,40,92
25,26,-13,38,53,69,62,52
31,20,6,47,87,22,58,98
44,17,0,40,96,41,34,36
39,20,-2,35,,41,55,72
,6,19,44,0,25,71,57
42,8,12,42,92,43,55,19
49,21,19,30,70,25,93,95
41,13,34,32,75,32,50,13
51,19,27,22,100,49,60,
45,19,48,8,34,3,99,0
45,19,40,26,94,49,55,70
38,21,39,18,27,30,95,9
27,12,53,14,74,21,68,66
18,14,39,17,25,25,70,14
24,7,51,8,18,1,72,42
25,7,36,8,65,37,48,29
8,10,42,6,6,-7,76,16
15,5,26,10,54,28,23,38
15,8,27,11,5,-10,75,-1
17,2,17,13,51,8,8,51
16,11,5,13,10,4,37,-23
17,8,17,16,36,10,43,57
18,,8,11,18,,17,-31
9,11,19,13,24,21,54,53
16,-4,8,2,39,-9,-1,-32
5,-7,15,-5,-8,18,45,-14
5,-17,13,4,12,-6,8,23
14,-30,14,-10,20,2,32,-25
-1,-35,21,5,3,-5,55,34
9,-48,6,-1,24,-25,-12,-12
6,-44,15,-4,-10,-8,41,19
4,-47,,-4,17,-41,,0
16,-40,12,-8,25,-2,23,-28
5,-39,3,-7,-5,-31,-5,35
7,-44,12,-19,13,1,34,9
8,-41,-2,-41,10,-16,-23,-13
-,-41,6,-33,,7,16,6
6,-31,0,-40,-14,34,-5,-34
-11,-37,-5,0,26,-13,-34,
-21,-28,9,-42,-20,40,39,6
-34,-29,2,-39,14,38,-20,-34
-39,-34,0,-44,-33,6,6,-3
-49,-25,5,-31,-3,51,17,-18
-40,-29,-8,-40,-32,15,-21,-31
-48,-26,-10,-32,-12,56,29,5
-35,-18,-21,-37,-19,33,-19,-19
-30,-15,-34,-28,17,56,16,31
-30,5,-48,-35,-30,84,-41,0
-32,5,-36,-30,28,84,8,41
-30,10,-42,-25,-6,67,-43,25
-35,7,-34,-32,28,35,9,38
-31,5,-37,-19,12,,-36,40
-37,30,-32,-27,33,364,13,42
-28,28,-34,-3,31,87,-19,61
-34,22,-36,-13,34,53,24,42
-20,45,-32,14,64,98,3,72
-21,39,-33,0,26,53,21,46
-10,41,-24,11,74,87,44,83
-3,57,-34,26,71,77,11,49
-8,43,-23,19,39,72,54,45
0,57,,39,75,71,,100
10,36,-23,36,49,55,40,50
6,47,-27,33,37,67,32,83
22,25,-8,52,93,41,61,75
23,20,-11,35,44,67,32,67
23,22,-9,52,71,32,72,84
44,8,4,48,84,46,41,41
40,16,0,37,52,48,35,90
44,18,15,44,110,23,86,87
49,14,18,37,49,46,56,26
0,18,15,29,,17,72,90
42,8,26,32,54,13,96,38
55,24,32,1,90,45,48,
40,17,27,7,41,8,76,53
46,16,47,25,88,36,83,45
35,22,37,23,24,16,69,-6
30,10,52,15,80,33,92,79
25,15,42,20,16,41,48,-4
15,9,49,13,34,-11,95,64
23,8,40,8,56,39,30,-3
1,9,38,8,9,-11,88,40
18,7,26,15,57,33,17,62
10,9,29,9,-2,-19,41,18
20,,29,15,58,,65,56
15,,11,10,-3,,12,-22
18,2,21,16,52,21,65,50
13,12,13,7,2,-6,-2,-13
13,7,19,5,34,23,71,32
16,12,9,-2,35,31,-10,-7
4,1,18,-3,-3,-12,59,7
16,-8,11,10,36,25,-8,40
0,-18,13,-5,-11,-17,7,-37
4,-34,17,3,10,15,,35
12,-35,-81,-1,5,-24,0,15
3,-49,8,-6,-17,-9,-10,-8
8,-43,13,1,27,-23,28,31
8,-46,7,-6,-6,-20,5,-18
2,-35,7,-15,-5,-11,14,22
13,-38,14,-23,28,-37,44,-10
4,-45,-3,-37,-3,14,-26,1
-13,-40,9,-40,16,-27,34,-11
-11,-37,7,-45,27,23,26,
,-35,-5,,,-2,-23,-43
-28,-37,4,-37,-25,-13,29,11
-31,-29,6,-41,15,49,-8,-40
-43,-34,-1,-35,-41,-5,-21,6
-43,-26,10,-33,6,56,40,-27
-40,-19,-13,-39,-46,20,-25,10
-39,-21,-10,-34,2,29,35,-7
-32,-21,-29,-37,-35,29,-32,14
-37,-16,-30,-29,7,70,22,20
-31,1,-44,-35,-19,64,-39,14
-30,-11,-34,-20,33,33,-3,45
-30,6,-46,-33,-13,79,-35,17
-31,8,-29,-12,42,38,8,58
-32,55,-40,-27,0,,-33,21
-36,9,-32,-1,11,64,19,75
-27,26,-37,-9,49,71,-23,26
-33,22,-33,-10,17,66,34,60
-17,46,-35,13,64,88,-5,62
-23,44,-31,0,26,57,36,60
-17,47,-24,28,57,100,41,73
-4,53,-35,25,56,59,12,43
-5,43,-20,31,57,87,54,96
5,54,-27,45,86,56,17,92
8,35,-23,32,36,66,47,61
7,44,,36,49,85,,96
27,31,-8,51,84,30,48,60
26,25,-14,36,53,71,51,83
29,30,0,52,88,51,80,67
43,16,1,42,99,32,32,37
0,23,-2,37,,46,49,95
39,22,18,40,53,26,76,62
48,4,15,28,110,38,39,42
46,20,18,35,45,31,88,76
40,11,31,34,76,21,88,
43,20,29,,93,48,55,0
46,19,47,16,71,8,103,77
46,18,42,28,71,46,51,13
28,23,40,21,35,36,87,1
33,11,54,18,69,14,70,76
24,16,40,21,19,30,66,-7
25,4,51,13,63,-1,78,71
9,5,36,16,9,31,40,-16
3,13,40,10,24,-1,83,58
19,3,25,12,47,22,17,-7
8,10,25,9,3,-3,81,40
24,,19,9,58,,5,6
13,0,8,11,-5,4,32,23
22,12,17,7,54,8,48,21
14,6,10,8,-6,6,11,-31
11,9,17,11,21,26,60,49
11,8,11,2,20,0,-7,-32
4,-8,18,5,5,11,59,33
12,-15,11,5,34,2,10,36
4,-22,15,-10,-6,-21,29,-32
8,-32,10,6,23,1,24,36
11,-41,7,-3,20,-35,-15,-10
-1,-47,17,-6,-15,1,,14
15,-44,2,8,29,-39,0,45
13,-44,3,-8,8,-6,-12,-28
6,-34,4,-11,8,4,-10,33
15,-39,10,-25,34,-38,39,-29
-3,-42,0,-40,-16,15,-30,-21
-12,-37,8,-34,26,-31,13,15
-22,-33,1,-49,,32,5,-38
,-32,-5,-37,-24,22,-33,8
-35,-37,10,-38,13,-2,40,
-38,-28,0,2,-31,43,-23,0
-51,-32,0,-45,-2,9,-7,-8
-40,-29,7,-31,-32,40,30,-12
-46,-27,-15,-43,-13,21,-16,-10
-33,-31,-13,-30,-18,10,27,10
-41,-17,-34,-40,-13,69,-30,-9
-31,-19,-30,-24,1,19,21,35
-36,-5,-48,-34,-11,80,-40,-5
-29,-7,-38,-16,29,31,8,54
-34,2,-44,-29,-7,83,-45,7
-28,10,-31,-15,42,72,7,61
-32,6,-38,-24,0,44,-30,16
-28,26,-33,-9,54,92,15,70
-33,26,-40,-9,11,,-19,32
-34,,-28,-13,32,363,37,35
-16,27,-31,13,54,83,9,78
-20,44,-38,1,37,73,19,38
-2,43,-25,8,73,80,33,75
-7,53,-32,27,42,83,7,58
0,42,-24,21,72,63,56,41
11,56,-28,36,83,81,16,101
7,39,-28,37,36,45,25,50
11,40,,32,68,82,,73
27,40,-9,51,71,39,65,87
23,21,-15,36,46,62,31,59
39,31,-9,37,100,69,70,99
50,20,4,49,,22,47,48
9,9,-2,34,0,41,32,84
43,22,13,41,48,40,88,92
43,0,19,40,48,24,58,23
44,14,13,32,91,44,66,88
52,18,35,38,91,21,74,
51,13,34,48,41,34,47,
39,20,39,17,79,23,104,50
40,14,49,27,48,4,52,48
33,22,42,12,25,45,104,26
32,15,53,19,78,6,55,58
24,11,44,12,16,25,45,7
19,15,48,9,62,18,95,56
17,2,45,13,21,11,27,5
10,13,36,7,40,16,93,40
17,1,25,9,23,6,15,19
14,10,23,8,29,16,79,15
19,1,21,11,36,,17,38
14,32,15,11,11,372,7,-8
24,0,20,13,41,14,72,45
10,13,14,9,2,0,-6,-24
14,7,18,4,42,17,72,27
7,13,13,3,0,15,-12,2
7,-6,17,-4,22,-2,63,3
15,-8,12,9,38,18,-12,42
-1,-26,14,-4,-14,-16,-1,-38
12,-31,17,0,31,18,52,33
9,-46,10,-2,8,-39,-15,24
-2,-44,13,-6,-4,4,,-19
17,-42,-73,-1,24,-20,0,36
8,-48,6,-9,-6,-25,7,-11
11,-34,9,-19,26,-7,10,14
14,-43,14,-24,,-25,47,0
7,-44,-2,-30,0,9,-26,-28
-9,-37,11,-33,-18,-26,33,21
-10,-39,7,-43,28,19,31,-41
-29,-32,-5,-39,-26,5,-30,9
-37,-35,13,-40,-1,-15,40,
-34,-29,5,34,-13,45,-3,0
-54,-32,6,-40,-20,0,15,-1
-41,-33,11,-35,-43,20,44,-22
-38,-26,-12,-41,0,41,-28,6
-32,-31,-9,-32,-33,24,36,2
-37,-16,-28,-38,4,60,-31,-15
-29,-19,-35,-28,-17,29,10,26
-38,-2,-50,-34,9,75,-36,9
-30,-3,-35,-24,15,44,4,48
-39,-4,-44,-27,7,68,-42,15
-30,11,-30,-28,39,56,10,45
-31,8,-40,-22,3,62,-39,31
-35,28,-31,-19,47,78,24,53
-30,,-37,-4,21,,-25,52
-28,23,-33,-11,48,62,35,52
-16,34,-35,14,66,98,-7,65
-22,44,-30,3,25,57,37,51
-5,43,-23,19,80,100,47,88
-4,50,-36,28,61,60,8,46
-4,41,-,21,50,83,,53
7,55,21,44,84,60,58,96
9,34,-24,35,38,64,31,55
6,43,-24,36,47,90,44,89
27,34,-9,53,88,25,54,65
25,25,-14,43,52,74,25,46
31,30,-2,43,87,59,81,101
43,20,6,43,,25,67,33
0,21,-3,33,0,56,44,55
40,22,5,39,51,31,84,75
48,4,14,27,111,30,43,38
46,21,12,25,42,40,42,85
41,16,30,3,75,10,93,
54,16,28,8,71,48,50,24
46,18,30,18,36,7,87,71
43,15,49,22,93,8,73,77
41,22,39,19,24,45,81,-1
27,10,53,17,77,6,79,76
21,10,41,20,24,31,57,-6
11,12,53,10,53,3,85,67
21,5,39,14,34,24,38,-13
7,13,36,10,26,8,84,56
17,0,21,13,60,15,16,-1
7,11,28,11,4,3,53,36
15,7,27,8,52,-13,48,13
17,3,10,10,9,19,27,14
15,1,19,8,40,,49,26
19,2,12,5,12,-2,11,-4
14,8,17,5,25,20,59,36
18,10,11,-2,52,5,-8,-27
5,-2,16,-1,-12,-9,62,25
13,-9,15,-6,35,27,-15,-15
12,-20,14,-6,22,-22,24,-36
0,-32,11,7,-6,20,26,41
12,-39,11,-2,26,-34,2,3
6,-48,0,-5,-10,2,,0
5,-42,13,-1,14,-37,46,19
12,-46,5,-2,5,-9,-12,-26
4,-35,9,-14,-14,-24,31,31
13,-37,10,-26,37,-41,42,-24
0,-41,0,-34,,19,-31,9
-7,-36,4,-33,-21,-33,7,18
-12,-34,2,-45,-7,32,7,-38
-12,-33,-3,-38,16,-9,-37,12
-35,-33,8,0,-17,33,40,
-33,-28,4,-45,13,45,-20,-39
-39,-33,0,-31,-31,3,-13,7
-39,-32,7,-37,1,36,36,-26
-49,-27,-12,-32,-46,26,-23,17
-32,-29,-11,-34,6,45,33,-12
-35,-16,-32,-33,-38,45,-32,23
-31,-18,-34,-27,14,46,23,12
-30,0,-45,-33,-29,63,-45,26
-31,-5,-38,-21,26,35,8,36
-29,0,-43,-33,-2,79,-42,24
-36,9,-31,-14,26,42,5,52
-29,6,-37,-25,17,40,-29,27
-39,26,-29,0,30,91,22,72
-28,372,-37,-7,36,,-20,34
-33,24,-28,-4,29,50,38,69
-21,42,-29,11,66,102,12,51
-21,42,-36,5,27,51,14,37
-12,47,-24,23,70,109,36,91
-5,51,-35,25,41,48,19,40
-6,45,-27,21,34,96,53,68
9,51,-26,43,89,42,18,83
10,38,-19,39,55,41,,50
9,45,,37,66,81,61,103
23,29,-11,47,93,28,71,49
24,20,-15,35,44,58,29,51
25,24,2,47,66,44,80,95
45,10,3,36,,33,50,37
-9,15,1,32,0,53,61,75
42,18,13,48,53,21,92,
43,10,13,,106,41,37,0
51,20,13,37,51,25,58,19
42,9,33,29,53,2,79,93
52,23,33,37,93,55,50,58
42,24,37,20,40,31,104,41
43,16,45,27,86,20,58,57
37,23,41,16,26,33,94,21
28,11,53,16,80,13,59,60
25,16,41,13,16,28,80,5
19,8,48,5,33,-2,62,49
21,7,36,10,56,28,54,12
4,9,35,5,11,2,87,30
15,5,31,9,57,19,31,27
12,11,23,9,-6,,73,10
20,2,22,11,64,368,25,40
15,-3,11,11,-8,5,50,-13
19,10,13,11,57,26,26,47
14,10,9,8,-4,26,36,-26
13,13,16,11,42,21,33,49
9,6,11,3,-1,-4,16,-36
6,-9,16,-4,-10,17,62,-5
14,-14,12,0,41,-8,-10,20
0,-33,17,-2,-18,7,52,-34
6,-33,8,0,9,-14,-4,30
9,-53,13,0,9,-18,,-18
3,-41,74,-2,-23,-15,0,-26
10,-43,14,2,32,-47,48,44
13,-39,4,-8,24,5,-21,-2
5,-34,8,-23,-12,-37,9,6
12,-44,4,-25,36,8,21,3
1,-35,3,-29,-1,-23,-18,-35
-10,-41,9,-34,13,15,31,19
,-32,-3,-42,,34,-17,-37
-19,-33,3,-42,-3,-14,18,5
-35,-32,12,,-6,43,42,
-35,-30,0,,-9,34,-26,
-45,-33,9,-40,-38,13,44,-32
-41,-26,0,-39,4,47,17,-2
-44,-31,-16,-35,-44,21,-8,-13
-31,-24,-18,-40,0,59,18,-2
-38,-17,-36,-32,-31,32,-24,22
-29,-13,-36,-39,15,62,15,3
-34,-3,-48,-27,-28,51,-40,37
-27,-5,-36,-31,33,63,5,-1
-33,11,-44,-27,-10,61,-43,43
-29,8,-30,-27,41,55,10,21
-33,18,-39,-30,1,91,-16,41
-32,,-34,-20,47,,8,37
-30,26,-36,-22,20,52,-21,45
-33,32,-33,-4,14,93,30,57
-16,44,-33,-11,70,61,0,44
-23,43,-34,16,22,95,30,71
-16,51,-28,3,50,65,23,46
-4,41,-35,15,62,80,,86
-5,56,3,29,51,62,0,47
5,46,-24,23,87,34,58,46
8,42,-24,43,38,91,36,101
6,44,-25,37,44,66,37,51
28,24,-8,34,90,40,56,85
25,33,-14,52,55,64,41,72
29,20,-4,34,86,22,76,69
44,10,3,41,69,46,36,100
41,21,-1,45,51,35,40,41
48,2,17,39,1,26,85,91
9,18,17,,,53,48,
51,14,17,,76,8,77,
41,19,29,38,72,49,96,80
54,25,30,31,72,51,48,31
39,14,43,32,57,1,109,84
45,22,46,23,70,50,51,18
27,19,45,16,38,16,106,61
30,12,50,29,63,25,45,29
28,11,43,9,24,14,53,44
21,4,49,19,63,10,89,38
9,12,40,7,9,12,32,24
2,5,37,9,23,-13,86,39
21,5,25,17,47,,18,-6
9,,23,6,7,370,80,47
23,-4,20,14,55,-10,8,8
13,12,14,8,-1,23,65,27
22,4,14,13,54,-3,9,21
12,18,12,12,-12,34,9,9
14,11,18,9,51,10,61,35
11,-10,11,7,19,-1,-6,-13
4,-11,13,9,9,9,41,39
13,-35,14,7,39,-12,14,43
4,-29,15,-4,-15,6,25,-6
10,-38,13,-4,28,-32,28,-6
11,-51,11,-6,28,-1,-,-40
-1,-40,13,6,-18,-34,,40
14,-47,13,3,33,-10,43,-32
7,-33,5,-4,-18,-20,-9,-5
7,-46,6,-3,8,-12,-12,27
,-35,10,-4,,-3,39,-24
7,-33,1,-17,20,-31,-28,24
-4,-36,6,-23,-16,29,5,-16
-11,-31,1,-38,27,-4,13,5
-24,-37,-3,,-21,26,-32,
-33,-28,8,,7,44,35,
-42,-32,11,-42,-25,1,29,-13
-50,-28,2,-44,-8,56,-16,-43
-41,-26,6,-39,-28,33,39,9
-34,-32,-13,-40,-36,34,-27,-36
-41,-14,-12,-35,-16,53,34,8
-41,-19,-32,-38,-16,40,-33,-24
-27,0,-33,-38,3,70,23,8
-37,-5,-47,-36,-15,38,-43,-3
-28,-3,-39,-37,30,76,5,17
-35,10,-43,-31,-9,46,-39,16
-26,8,-34,-35,44,73,0,20
-33,28,-39,-21,-4,65,-24,44
-29,23,-34,-35,59,71,3,20
-28,39,-36,-16,40,,-8,56
-32,2,-39,-24,26,333,12,21
-16,43,-30,-1,62,49,16,75
-21,46,-39,-8,31,112,11,40
-13,52,-27,-10,69,47,43,63
-6,45,-32,11,45,97,10,54
0,54,-28,3,67,45,53,63
10,41,-22,21,88,40,53,92
11,44,-2,23,59,87,,39
9,32,7,19,62,22,18,59
27,23,-10,42,76,54,71,90
23,28,-8,42,46,48,39,54
38,16,-13,39,100,33,60,99
45,12,4,52,93,58,55,57
39,17,0,40,64,17,30,48
5,10,11,47,,41,90,97
1,17,18,43,99,29,71,37
49,9,11,36,56,-2,53,68
45,23,18,39,87,57,92,61
51,14,33,45,55,-1,50,25
42,15,35,27,41,12,98,
43,23,47,8,85,41,102,0
36,11,39,34,28,5,90,20
30,15,51,17,76,38,66,34
27,7,43,22,19,0,70,62
15,8,51,14,59,20,71,13
17,8,35,16,20,8,49,61
11,4,39,15,39,13,72,5
17,11,29,7,25,3,24,56
13,0,24,17,31,-16,67,-5
19,9,22,9,31,,32,52
15,-49,7,11,18,376,44,32
20,7,14,10,36,-5,32,2
9,12,9,12,5,26,29,42
12,3,18,11,43,-4,40,-25
9,-8,10,11,-5,15,14,-25
6,-13,14,3,-8,-6,55,8
13,-34,15,11,38,5,-,48
1,-32,5,6,-16,-11,,-33
6,-44,14,-1,11,-41,46,-11
7,-45,11,3,7,7,2,28
2,-44,13,-1,-23,-46,-11,-27
11,-40,11,-3,32,3,42,24
7,-33,6,0,-9,-35,-17,-13
6,-39,6,0,-9,-32,6,-33
11,-36,6,3,,14,24,44
-34,-36,1,-4,0,-28,-17,6
1,-32,6,-18,-2,35,24,0
-7,-33,7,-23,-18,-14,32,12
-12,-33,-3,-26,29,40,-30,-31
-29,-26,10,-33,-25,36,40,17
-50,-35,7,-40,-25,10,8,-29
-41,-26,4,-43,0,50,2,
-41,-32,8,-1,0,15,42,
-44,-27,-7,-39,-40,52,-21,-23
-38,-17,-13,-41,-5,40,29,-40
-35,-17,-26,-30,-28,56,-22,11
-35,-1,-34,-33,-1,56,20,-10
-30,-7,-45,-31,-9,57,-45,14
-37,11,-36,-34,2,69,11,-7
-30,6,-42,-24,18,48,-47,35
-36,2,-32,-31,4,,11,6
-27,7,-36,-29,36,85,-36,32
-38,27,-29,-32,7,52,17,11
-26,30,-36,-32,53,91,-20,34
-31,44,-31,-19,20,65,25,44
-28,39,-32,-23,49,91,4,37
-19,54,-33,-5,44,67,28,65
-18,41,-24,-12,49,77,43,39
-5,56,-35,12,80,69,8,78
-7,48,-24,9,30,35,56,41
-2,40,-23,11,46,91,37,83
11,40,0,26,80,27,,93
6,28,-26,22,41,34,35,46
15,33,-9,36,83,72,59,103
25,19,-13,36,56,29,30,49
23,8,-7,31,46,47,72,76
42,22,3,48,105,35,72,81
39,13,0,33,51,9,38,63
40,18,4,38,,56,76,97
6,13,15,47,0,9,56,45
52,6,13,33,79,0,38,84
41,26,25,39,68,58,94,86
51,19,31,35,77,17,48,28
46,18,30,34,40,32,74,
41,19,46,,85,23,88,86
41,13,38,38,35,-7,64,43
26,18,51,17,69,47,91,52
20,5,44,26,31,-9,49,41
13,11,47,11,46,32,93,34
20,1,42,17,40,-5,32,43
5,8,38,7,22,20,85,16
18,7,29,8,47,-8,22,44
