x 2 fases 1 ,x desnível 5 ,i 2 fases 1,i desnível 5,x 2 Fases 2,i 2 Fases 2
-5,-6,0,0,2,0
-2,-1,0,0,-8,0
1,-7,0,0,5,0
5,2,0,0,9,28
-1,-1,0,0,0,122
14,-4,0,0,14,233
3,1,0,,4,309
2,,0,,15,379
10,-5,0,0,0,415
-8,0,0,0,9,444
2,0,10,0,4,495
0,-6,125,0,-6,548
-9,-1,228,0,2,553
-3,-4,308,34,-5,487
-2,-2,374,100,-5,421
-13,-3,41,157,-2,357
0,-3,460,226,-3,308
-2,-3,530,297,5,218
-11,-3,560,354,0,65
4,0,522,372,9,0
0,-3,458,381,4,0
-1,0,378,378,6,0
12,-6,324,373,11,0
4,0,272,355,5,0
12,-6,134,285,5,0
-2,-3,12,206,2,0
4,-4,0,133,1,0
8,-4,0,51,0,
-5,3,0,0,,
-2,-8,0,0,0,0
-5,0,0,0,-3,0
-8,0,0,0,-5,0
-1,-8,0,0,-5,0
-8,-1,0,0,-8,0
3,-5,0,0,0,0
-2,-7,0,0,-5,0
9,1,0,0,1,0
12,-8,0,0,1,3
4,-7,0,0,0,102
13,-2,0,,9,210
12,,0,0,7,293
6,-9,0,0,9,355
7,-2,0,0,6,403
1,-6,73,0,2,437
0,-5,188,0,-4,500
7,1,279,0,-4,558
-8,-9,341,61,-6,559
-5,-1,396,116,-9,487
-2,-8,483,166,-7,423
-8,0,541,235,-7,351
4,-3,558,306,-3,300
0,-8,504,358,-2,192
0,0,430,376,0,45
7,-8,356,382,9,0
2,0,312,376,1,0
11,-8,217,368,11,0
8,-6,64,345,10,0
8,-3,0,272,0,0
9,-6,0,201,11,0
4,-1,0,134,0,0
5,-8,0,51,0,0
-1,-1,0,0,2,
0,-4,0,0,,0
-5,-2,0,0,-8,0
-7,-3,0,0,-8,0
-3,-5,0,0,-1,0
-7,-1,0,0,-12,0
-2,-4,0,0,-6,0
-4,-5,0,0,0,0
2,-1,0,0,-7,0
6,-5,0,0,8,0
-2,0,0,0,1,76
13,-3,0,0,3,174
3,-4,0,0,12,272
3,-1,53,,5,340
7,14,161,,14,398
-2,-5,253,0,1,432
1,-3,386,0,5,481
2,-4,424,17,2,529
-12,-2,476,89,-4,556
-2,-3,544,127,0,522
-2,-5,561,198,-3,456
