normal,2fase,desb,inc,i normal,i 2 fase,i desb ,i inc
8,-8,14,0,54,0,0,378
-7,-5,13,-7,0,0,0,379
6,-2,5,-1,0,0,0,374
0,-8,4,-8,0,0,0,361
1,4,13,-4,0,0,0,295
11,0,2,-5,0,0,0,218
-6,0,7,-7,0,0,0,146
1,7,6,-4,0,0,0,0
7,2,0,0,0,73,0,76
-3,11,12,-11,0,188,0,0
6,8,14,0,0,279,9,0
0,8,4,0,0,341,75,0
0,9,6,-8,0,396,123,0
-5,4,-14,-1,0,0,182,0
5,5,-14,-7,0,0,262,0
2,-1,-34,-5,0,483,338,0
-7,0,-34,-2,0,541,365,0
9,-5,-44,-9,0,558,375,0
4,-7,-41,-7,0,504,3,0
-2,-3,73,-1,1,430,0,0
8,-7,-45,-9,62,356,363,0
-4,-2,-35,1,109,312,325,0
8,-4,-37,-6,158,217,232,0
-1,2,-40,-9,220,64,169,0
6,6,-35,0,297,0,89,0
1,-2,-40,-1,341,0,18,0
-7,13,-31,-5,365,0,0,0
11,3,-40,-1,374,0,0,69
-5,3,-27,-8,373,0,0,114
8,7,-34,0,367,0,0,171
-6,-2,-30,-5,348,0,0,247
6,1,-24,0,279,0,0,315
9,2,-28,-2,214,0,0,367
-8,-12,-13,-4,147,0,0,375
9,-2,-11,-2,69,0,0,378
-11,-2,-16,-4,0,0,0,375
0,-12,3,0,0,0,0,367
6,-6,-5,-6,0,0,0,307
-8,-4,8,-2,0,0,0,236
9,-12,16,-4,0,0,0,157
-6,6,11,0,0,0,0,88
-7,5,20,-4,0,53,0,6
6,0,35,-2,0,161,13,0
-2,11,37,0,0,253,87,0
0,3,51,-2,0,0,126,0
8,23,41,-3,0,0,195,0
0,13,57,0,0,386,268,0
0,-2,49,-3,0,424,333,0
-9,4,46,-3,0,476,362,0
-2,-3,48,-1,0,544,375,0
3,-6,35,-4,0,561,375,0
-9,-2,33,2,0,500,369,0
5,-10,18,-5,0,430,366,0
7,0,30,-5,0,358,310,0
-10,-8,13,0,0,308,237,0
11,6,17,-7,69,236,169,0
-10,-1,13,-2,120,78,86,0
10,1,15,-5,174,0,6,0
-9,12,0,-7,242,0,0,0
-5,5,14,1,314,0,0,32
7,11,15,-8,350,0,0,104
-10,11,19,-5,367,0,0,149
8,6,17,-2,367,0,0,216
10,13,17,-6,369,0,0,289
10,-2,14,-3,366,0,0,346
-13,3,11,-6,314,0,0,370
7,6,9,1,240,0,0,378
-5,-5,5,-8,175,0,0,377
-4,-4,10,0,101,0,0,373
9,2,9,-8,30,0,0,345
-7,-9,4,0,0,0,0,276
4,-2,11,-1,0,0,0,198
0,1,2,-8,0,0,0,129
-6,0,5,0,0,0,0,55
11,9,10,-8,0,18,1,0
